,labels,neighborhood
0,2,astoria
1,2,bay ridge
2,2,baychester
3,2,bayside
4,2,bedford
5,2,bedford stuyvesant
6,2,belmont
7,2,bensonhurst
8,2,borough park
9,2,broad channel
10,2,bronxdale
11,0,brooklyn heights
12,2,brownsville
13,2,bushwick
14,2,canarsie
15,0,carroll gardens
16,0,central harlem
17,0,chelsea
18,1,chinatown
19,0,clinton
20,2,co-op city
21,2,concourse
22,2,coney island
23,2,corona
24,2,crotona
25,2,crown heights
26,2,dyker heights
27,2,east flatbush
28,2,east harlem
29,2,east new york
30,2,east tremont
31,2,elmhurst
32,2,fieldston
33,0,financial district
34,2,flatbush
35,2,flatlands
36,2,flushing
37,2,forest hills
38,0,fort greene
39,2,fresh meadows
40,2,great kills
41,2,greenpoint
42,1,greenwich village
43,0,hamilton
44,2,highbridge
45,2,hillcrest
46,2,hollis
47,2,howard beach
48,2,hunts point
49,2,inwood
50,2,jackson heights
51,2,jamaica
52,2,kew gardens
53,2,kingsbridge heights
54,2,lefferts gardens
55,2,little neck
56,2,longwood
57,1,lower east side
58,2,maspeth
59,2,melrose
60,2,midwood
61,0,morningside heights
62,2,morris park
63,2,morrisania
64,2,mott haven
65,0,park slope
66,2,parkchester
67,2,prospect heights
68,2,queens village
69,2,rego park
70,2,ridgewood
71,2,riverdale
72,2,rockaway
73,2,sheepshead bay
74,1,soho
75,2,soundview
76,2,south beach
77,2,south crown heights
78,2,south ozone park
79,2,st. george
80,2,stapleton
81,2,starrett city
82,1,stuyvesant town
83,2,sunnyside
84,2,sunset park
85,2,throgs neck
86,2,tottenville
87,1,turtle bay
88,1,upper east side
89,1,upper west side
90,2,washington heights
91,2,whitestone
92,2,williamsbridge
93,2,williamsburg
94,2,willowbrook
95,2,woodhaven
96,2,woodside
